uuid|season|g_type|date|team1|team2|year|month|day|t1_loc|t1_sea_g_played|t1_sea_g_played_h|t1_sea_g_played_a|t1_rest_day|t1_b2b|t2_loc|t2_sea_g_played|t2_sea_g_played_h|t2_sea_g_played_a|t2_rest_day|t2_b2b|league
8518|201920|2|2020-01-20|ATL|TOR|2020|1|1|Home|44|21|23|1|0|Away|43|22|21|1|0|NBA
7091|201819|2|2018-12-28|ORL|TOR|2018|12|5|Home|34|20|14|1|0|Away|37|17|20|1|0|NBA
5129|201617|2|2017-04-07|LAL|SAC|2017|4|5|Home|79|39|40|1|0|Away|79|39|40|2|0|NBA
6443|201718|2|2018-04-06|PHO|NOP|2018|4|5|Home|80|40|40|2|0|Away|79|40|39|1|0|NBA
6231|201718|2|2018-03-09|DEN|LAL|2018|3|5|Home|66|35|31|1|0|Away|65|31|34|1|0|NBA
7659|201819|2|2019-03-23|POR|DET|2019|3|6|Home|72|37|35|2|0|Away|72|36|36|1|0|NBA
3446|201516|2|2016-02-19|SAC|DEN|2016|2|5|Home|54|27|27|3|0|Away|55|26|29|3|0|NBA
2721|201516|2|2015-11-07|SAC|GSW|2015|11|6|Home|7|5|2|0|1|Away|7|4|3|0|1|NBA
181|201314|2|2013-11-22|MEM|SAS|2013|11|5|Home|13|6|7|1|0|Away|12|5|7|1|0|NBA
780|201314|2|2014-02-12|IND|DAL|2014|2|3|Home|52|28|24|1|0|Away|54|26|28|0|1|NBA
6065|201718|2|2018-02-08|GSW|DAL|2018|2|4|Home|55|27|28|1|0|Away|55|28|27|2|0|NBA
1119|201314|2|2014-04-02|PHI|CHA|2014|4|3|Home|75|39|36|1|0|Away|75|38|37|1|0|NBA
497|201314|2|2014-01-05|CLE|IND|2014|1|7|Home|34|17|17|0|1|Away|33|17|16|0|1|NBA
690|201314|2|2014-01-31|LAL|CHA|2014|1|5|Home|47|21|26|2|0|Away|48|24|24|1|0|NBA
2659|201516|2|2015-10-30|PHI|UTA|2015|10|5|Home|2|1|1|1|0|Away|2|0|2|1|0|NBA
6380|201718|2|2018-03-29|GSW|MIL|2018|3|4|Home|75|39|36|1|0|Away|75|38|37|1|0|NBA
4841|201617|2|2017-03-01|ATL|DAL|2017|3|3|Home|60|29|31|1|0|Away|60|30|30|1|0|NBA
6934|201819|2|2018-12-06|UTA|HOU|2018|12|4|Home|26|10|16|1|0|Away|24|10|14|2|0|NBA
9828|202021|2|2021-04-13|PHO|MIA|2021|4|2|Home|53|29|24|0|1|Away|54|28|26|1|0|NBA
9224|202021|2|2021-01-20|CLE|BRK|2021|1|3|Home|14|7|7|3|0|Away|16|11|5|1|0|NBA
4562|201617|2|2017-01-16|LAC|OKC|2017|1|1|Home|43|23|20|1|0|Away|43|21|22|0|1|NBA
6704|201819|2|2018-11-04|POR|MIN|2018|11|7|Home|10|6|4|0|1|Away|10|5|5|1|0|NBA
9459|202021|2|2021-02-20|LAL|MIA|2021|2|6|Home|31|15|16|1|0|Away|30|14|16|1|0|NBA
4152|201617|2|2016-11-21|SAS|DAL|2016|11|1|Home|14|7|7|2|0|Away|13|4|9|1|0|NBA
3766|201516|2|2016-04-01|SAC|MIA|2016|4|5|Home|76|38|38|1|0|Away|75|38|37|1|0|NBA
8432|201920|2|2020-01-07|TOR|POR|2020|1|2|Home|37|20|17|2|0|Away|38|17|21|1|0|NBA
7686|201819|2|2019-03-27|OKC|IND|2019|3|3|Home|75|36|39|1|0|Away|75|37|38|2|0|NBA
3149|201516|2|2016-01-04|POR|MEM|2016|1|1|Home|37|15|22|0|1|Away|36|17|19|1|0|NBA
582|201314|2|2014-01-17|DET|UTA|2014|1|5|Home|39|20|19|3|0|Away|41|19|22|1|0|NBA
5769|201718|2|2017-12-27|OKC|TOR|2017|12|3|Home|35|18|17|1|0|Away|33|13|20|0|1|NBA
1010|201314|2|2014-03-19|LAL|SAS|2014|3|3|Home|67|32|35|3|0|Away|67|34|33|2|0|NBA
10049|202021|2|2021-05-11|CHI|BRK|2021|5|2|Home|69|34|35|1|0|Away|68|32|36|2|0|NBA
4611|201617|2|2017-01-23|BRK|SAS|2017|1|1|Home|44|23|21|1|0|Away|44|21|23|1|0|NBA
10247|202122|2|2021-10-26|UTA|DEN|2021|10|2|Home|3|2|1|3|0|Away|4|2|2|0|1|NBA
537|201314|2|2014-01-10|MIN|CHA|2014|1|5|Home|36|18|18|1|0|Away|37|19|18|2|0|NBA
7537|201819|2|2019-03-06|LAL|DEN|2019|3|3|Home|65|33|32|1|0|Away|64|33|31|1|0|NBA
11093|202122|2|2022-02-26|ATL|TOR|2022|2|6|Home|60|31|29|1|0|Away|59|29|30|0|1|NBA
5863|201718|2|2018-01-10|IND|MIA|2018|1|3|Home|41|23|18|1|0|Away|41|20|21|0|1|NBA
6353|201718|2|2018-03-25|MIL|SAS|2018|3|7|Home|73|38|35|1|0|Away|74|37|37|1|0|NBA
6853|201819|2|2018-11-25|ATL|CHO|2018|11|7|Home|20|10|10|1|0|Away|19|9|10|1|0|NBA
8815|201920|2|2020-03-06|NYK|OKC|2020|3|5|Home|63|32|31|1|0|Away|63|33|30|1|0|NBA
6538|201718|4|2018-05-03|TOR|CLE|2018|5|4|Home|90|46|44|1|0|Away|91|45|46|1|0|NBA
9904|202021|2|2021-04-22|SAS|DET|2021|4|4|Home|58|32|26|0|1|Away|60|27|33|0|1|NBA
10044|202021|2|2021-05-10|GSW|UTA|2021|5|1|Home|69|33|36|1|0|Away|69|35|34|1|0|NBA
7627|201819|2|2019-03-19|CHO|PHI|2019|3|2|Home|70|36|34|1|0|Away|71|37|34|1|0|NBA
6060|201718|2|2018-02-07|CLE|MIN|2018|2|3|Home|53|27|26|0|1|Away|57|28|29|3|0|NBA
4742|201617|2|2017-02-09|OKC|CLE|2017|2|4|Home|54|26|28|2|0|Away|52|27|25|0|1|NBA
10909|202122|2|2022-01-26|CHI|TOR|2022|1|3|Home|47|23|24|1|0|Away|46|25|21|0|1|NBA
10373|202122|2|2021-11-12|LAL|MIN|2021|11|5|Home|13|10|3|1|0|Away|11|7|4|1|0|NBA
9341|202021|2|2021-02-04|PHI|POR|2021|2|4|Home|23|12|11|0|1|Away|21|10|11|1|0|NBA
3374|201516|2|2016-02-03|WAS|GSW|2016|2|3|Home|47|26|21|1|0|Away|49|22|27|2|0|NBA
6533|201718|4|2018-04-30|BOS|PHI|2018|4|1|Home|90|46|44|1|0|Away|88|44|44|3|0|NBA
7960|201920|2|2019-11-02|OKC|NOP|2019|11|6|Home|6|4|2|2|0|Away|6|3|3|1|0|NBA
4729|201617|2|2017-02-08|BRK|WAS|2017|2|3|Home|53|28|25|0|1|Away|52|29|23|1|0|NBA
2519|201415|2|2015-04-12|SAS|PHO|2015|4|7|Home|81|41|40|1|0|Away|81|40|41|1|0|NBA
1821|201415|2|2015-01-03|SAS|WAS|2015|1|6|Home|35|17|18|2|0|Away|33|18|15|0|1|NBA
9765|202021|2|2021-04-05|SAS|CLE|2021|4|1|Home|48|29|19|1|0|Away|50|24|26|1|0|NBA
