t1_pts|t2_pts|t1_result|t2_result|box_type|mp|t1_fgm|t1_fga|t1_fg_pct|t1_2pm|t1_2pa|t1_2p_pct|t1_3pm|t1_3pa|t1_3p_pct|t1_ftm|t1_fta|t1_ft_pct|t1_oreb|t1_dreb|t1_reb|t1_ast|t1_tov|t1_stl|t1_blk|t1_pf|t2_fgm|t2_fga|t2_fg_pct|t2_2pm|t2_2pa|t2_2p_pct|t2_3pm|t2_3pa|t2_3p_pct|t2_ftm|t2_fta|t2_ft_pct|t2_oreb|t2_dreb|t2_reb|t2_ast|t2_tov|t2_stl|t2_blk|t2_pf|pd_box|pt_box|t1_poss_cnt|t1_poss_sec|t1_poss_sdp|t1_fga_poss_prop|t1_2pa_poss_prop|t1_3pa_poss_prop|t1_fta_poss_prop|t1_fta_fga_rto|t1_efg_pct|t1_ts_pct|t1_oreb_reb_pct|t1_dreb_reb_pct|t1_tov_poss_pct|t1_pf_poss_pct|t2_poss_cnt|t2_poss_sec|t2_poss_sdp|t2_fga_poss_prop|t2_2pa_poss_prop|t2_3pa_poss_prop|t2_fta_poss_prop|t2_fta_fga_rto|t2_efg_pct|t2_ts_pct|t2_oreb_reb_pct|t2_dreb_reb_pct|t2_tov_poss_pct|t2_pf_poss_pct|pd_poss|pt_poss|uuid|league|date|team1|team2|season|g_type|t1_loc|t2_loc|t1_sea_g_played|t1_sea_g_played_h|t1_sea_g_played_a|t2_sea_g_played|t2_sea_g_played_h|t2_sea_g_played_a|t1_b2b|t2_b2b
130|96|1|-1|FT|48|52|93|0.5591397849462365|38|57|0.6666666666666666|14|36|0.3888888888888889|12|16|0.75|8|43|51|31|12|11|5|22|33|86|0.38372093023255816|22|52|0.4230769230769231|11|34|0.3235294117647059|19|27|0.7037037037037037|9|32|41|17|15|6|3|18|-34|226|105.0|1415.0|13.476190476190476|0.8857142857142857|0.5428571428571428|0.3428571428571428|0.1523809523809524|0.1720430107526882|0.6344086021505376|0.6734355573974307|0.2|0.8269230769230769|0.1142857142857142|0.2095238095238095|104.0|1465.0|14.086538461538462|0.8269230769230769|0.5|0.3269230769230769|0.2596153846153846|0.313953488372093|0.4476744186046512|0.5220796171416141|0.17307692307692307|0.8|0.1442307692307692|0.173076923076923|-0.3253588516746411|1.0813397129186604|9123|NBA|2021-01-05|BRK|UTA|202021|2|Home|Away|8|6|2|7|3|4|0|0
131|122|1|-1|FT|48|47|86|0.5465116279069767|40|69|0.5797101449275363|7|17|0.4117647058823529|30|38|0.7894736842105263|7|36|43|23|13|6|2|27|44|96|0.4583333333333333|26|48|0.5416666666666666|18|48|0.375|16|28|0.5714285714285714|11|36|47|19|16|10|3|27|-9|253|113.0|1557.0|13.778761061946902|0.7610619469026548|0.6106194690265486|0.1504424778761062|0.336283185840708|0.4418604651162791|0.5872093023255814|0.6941500635862654|0.16279069767441862|0.7659574468085106|0.1150442477876106|0.2389380530973451|112.0|1323.0|11.8125|0.8571428571428571|0.4285714285714285|0.4285714285714285|0.25|0.2916666666666667|0.5520833333333334|0.5971025841816758|0.23404255319148934|0.8372093023255814|0.1428571428571428|0.2410714285714285|-0.08|1.1244444444444444|9623|NBA|2021-03-18|WAS|UTA|202021|2|Home|Away|40|22|18|40|18|22|1|0
106|126|-1|1|FT|48|39|88|0.4431818181818182|30|56|0.5357142857142857|9|32|0.28125|19|25|0.76|11|27|38|21|18|10|7|23|44|91|0.4835164835164835|31|62|0.5|13|29|0.4482758620689655|25|31|0.8064516129032258|13|36|49|21|14|11|4|17|20|232|108.0|1325.0|12.268518518518519|0.8148148148148148|0.5185185185185185|0.2962962962962963|0.2314814814814815|0.2840909090909091|0.4943181818181818|0.5668449197860963|0.23404255319148934|0.675|0.16666666666666666|0.21296296296296294|107.0|1555.0|14.532710280373832|0.8504672897196262|0.5794392523364486|0.27102803738317754|0.2897196261682243|0.3406593406593407|0.554945054945055|0.6440400736045799|0.325|0.7659574468085106|0.1308411214953271|0.1588785046728972|0.18604651162790695|1.0790697674418606|8828|NBA|2020-03-08|HOU|ORL|201920|2|Home|Away|63|31|32|64|31|33|1|0
106|99|1|-1|FT|48|33|77|0.42857142857142855|20|44|0.4545454545454545|13|33|0.3939393939393939|27|37|0.7297297297297297|10|40|50|22|20|5|13|22|37|96|0.3854166666666667|30|66|0.4545454545454545|7|30|0.2333333333333333|18|21|0.8571428571428571|11|35|46|24|12|14|6|28|-7|205|103.0|1352.0|13.12621359223301|0.7475728155339806|0.4271844660194175|0.32038834951456313|0.3592233009708738|0.4805194805194805|0.512987012987013|0.6225041108762039|0.2222222222222222|0.7843137254901961|0.1941747572815534|0.21359223300970875|102.0|1528.0|14.980392156862745|0.9411764705882352|0.6470588235294118|0.29411764705882354|0.2058823529411765|0.21875|0.421875|0.4919499105545617|0.21568627450980396|0.7777777777777778|0.1176470588235294|0.27450980392156865|-0.06829268292682927|1.0|8187|NBA|2019-12-04|CHI|MEM|201920|2|Home|Away|22|11|11|21|13|8|0|0
107|94|1|-1|FT|48|42|87|0.4827586206896552|28|50|0.56|14|37|0.3783783783783784|9|20|0.45|14|40|54|24|13|8|15|16|35|91|0.3846153846153846|22|54|0.4074074074074074|13|37|0.3513513513513513|11|17|0.6470588235294118|12|31|43|27|10|6|7|16|-13|201|98.0|1250.0|12.755102040816327|0.8877551020408163|0.5102040816326531|0.3775510204081632|0.2040816326530612|0.2298850574712643|0.5632183908045977|0.5853391684901531|0.3111111111111111|0.7692307692307693|0.1326530612244898|0.1632653061224489|99.0|1630.0|16.464646464646464|0.9191919191919192|0.5454545454545454|0.3737373737373737|0.1717171717171717|0.1868131868131868|0.456043956043956|0.4960945746252903|0.2307692307692307|0.6888888888888889|0.101010101010101|0.1616161616161616|-0.1319796954314721|1.0203045685279188|9969|NBA|2021-05-01|CHO|DET|202021|2|Home|Away|60|29|31|64|29|35|0|0
103|108|-1|1|FT|48|42|88|0.4772727272727273|32|49|0.6530612244897959|10|39|0.2564102564102564|9|13|0.6923076923076923|6|36|42|16|13|7|4|19|40|84|0.4761904761904761|27|54|0.5|13|30|0.4333333333333333|15|22|0.6818181818181818|8|31|39|21|13|7|2|16|5|211|103.0|1463.0|14.20388349514563|0.8543689320388349|0.4757281553398058|0.3786407766990291|0.1262135922330097|0.1477272727272727|0.5340909090909091|0.5668060752806515|0.1621621621621621|0.8181818181818182|0.1262135922330097|0.1844660194174757|103.0|1417.0|13.75728155339806|0.8155339805825242|0.5242718446601942|0.2912621359223301|0.2135922330097087|0.2619047619047619|0.5535714285714286|0.6078343088698784|0.1818181818181818|0.8378378378378378|0.1262135922330097|0.1553398058252427|0.0485436893203883|1.0242718446601942|9830|NBA|2021-04-13|TOR|ATL|202021|2|Home|Away|55|26|29|55|24|31|0|0
116|127|-1|1|FT|48|43|100|0.43|28|54|0.5185185185185185|15|46|0.32608695652173914|15|21|0.7142857142857143|11|42|53|27|14|7|1|14|48|99|0.4848484848484849|25|45|0.5555555555555556|23|54|0.4259259259259259|8|13|0.6153846153846154|9|44|53|40|12|7|3|20|11|243|113.0|1415.0|12.522123893805311|0.8849557522123894|0.4778761061946903|0.4070796460176992|0.18584070796460175|0.21|0.505|0.5543873064423628|0.2|0.8235294117647058|0.12389380530973453|0.12389380530973453|113.0|1465.0|12.964601769911507|0.8761061946902655|0.3982300884955752|0.4778761061946903|0.11504424778761063|0.13131313131313133|0.6010101010101011|0.623404673080699|0.17647058823529413|0.8|0.10619469026548672|0.17699115044247787|0.09734513274336284|1.075221238938053|7793|NBA|2019-04-10|MIL|OKC|201819|2|Home|Away|82|41|41|82|41|41|0|1
103|98|1|-1|FT|48|38|80|0.475|26|44|0.5909090909090909|12|36|0.3333333333333333|15|21|0.7142857142857143|3|36|39|20|13|8|7|19|39|97|0.4020618556701031|29|62|0.4677419354838709|10|35|0.2857142857142857|10|17|0.5882352941176471|18|38|56|23|13|10|4|18|-5|201|98.0|1482.0|15.122448979591837|0.8163265306122449|0.4489795918367347|0.3673469387755102|0.21428571428571427|0.2625|0.55|0.6086031670999763|0.07317073170731707|0.6666666666666666|0.1326530612244898|0.19387755102040816|99.0|1398.0|14.12121212121212|0.9797979797979798|0.6262626262626263|0.35353535353535354|0.1717171717171717|0.17525773195876287|0.4536082474226804|0.486400635298789|0.3333333333333333|0.9268292682926829|0.13131313131313133|0.18181818181818185|-0.05076142131979696|1.0203045685279188|7304|NBA|2019-01-27|HOU|ORL|201819|2|Home|Away|49|26|23|50|26|24|0|0
125|130|-1|1|FT|48|45|96|0.46875|30|52|0.5769230769230769|15|44|0.3409090909090909|20|25|0.8|7|35|42|33|13|6|3|28|44|96|0.4583333333333333|29|56|0.5178571428571429|15|40|0.375|27|36|0.75|15|45|60|32|18|5|0|23|5|255|116.0|1486.0|12.810344827586205|0.8275862068965517|0.4482758620689655|0.3793103448275862|0.21551724137931036|0.2604166666666667|0.546875|0.6157635467980296|0.1346153846153846|0.7|0.11206896551724138|0.2413793103448276|117.0|1394.0|11.914529914529915|0.8205128205128205|0.4786324786324786|0.3418803418803419|0.3076923076923077|0.375|0.5364583333333334|0.6254811393379522|0.3|0.8653846153846154|0.15384615384615385|0.19658119658119655|0.04291845493562232|1.094420600858369|6995|NBA|2018-12-14|SAC|GSW|201819|2|Home|Away|28|13|15|30|15|15|0|0
118|110|1|-1|FT|48|45|88|0.5113636363636364|29|49|0.5918367346938775|16|39|0.41025641025641024|12|15|0.8|10|37|47|32|16|8|2|22|36|84|0.42857142857142855|23|44|0.5227272727272727|13|40|0.325|25|34|0.7352941176470589|10|31|41|19|11|7|1|18|-8|228|104.0|1474.0|14.173076923076925|0.8461538461538461|0.4711538461538462|0.375|0.14423076923076922|0.17045454545454544|0.6022727272727273|0.6462212486308873|0.24390243902439024|0.7872340425531915|0.15384615384615385|0.21153846153846154|105.0|1406.0|13.390476190476189|0.8|0.4190476190476191|0.3809523809523809|0.3238095238095238|0.4047619047619048|0.5059523809523809|0.6012243113248797|0.2127659574468085|0.7560975609756098|0.10476190476190476|0.17142857142857146|-0.07655502392344497|1.0909090909090908|7420|NBA|2019-02-13|BOS|DET|201819|2|Home|Away|58|31|27|56|30|26|1|0
